province,date,total,isgps
nonthaburi,20230919,1980,1973/1980
nakhonpathom,20230919,1094,1085/1094
nonthaburi,20230920,1980,1974/1980
nonthaburi,20230920,1980,-1
nakhonpathom,20230920,1094,1085/1094
nakhonpathom,20230920,1094,-1
samutsakorn,20230920,545,544/545
samutsakorn,20230920,545,-1
chonburi,20230920,1804,2/37
chonburi,20230920,1804,-1
songkhla,20230920,2339,2334/2339
songkhla,20230920,2339,-1
nonthaburi,20230921,1979,1974/1980
nonthaburi,20230921,1979,-1
nakhonpathom,20230921,901,892/901
nakhonpathom,20230921,901,-1
samutsakorn,20230921,545,544/545
samutsakorn,20230921,545,-1
