sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,timestamp,img1
1 - 1,พ.334/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,2,0,51.0,53263400.0,วังทองหลาง,วังทองหลาง,กรุงเทพฯ,1162,5000000.0,"{'1': {'date': '27/04/2567', 'sta': 'ขายได้'}, '2': {'date': '18/05/2567', 'sta': 'ขายได้'}, '3': {'date': '08/06/2567', 'sta': 'ขายได้'}, '4': {'date': '29/06/2567', 'sta': 'ขายได้'}, '5': {'date': '20/07/2567', 'sta': 'ขายได้'}, '6': {'date': '10/08/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,73122430.0,27-02-2567,['https://asset.led.go.th/PPKPicture/2566/12-2566/12/1162p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.334&law_suit_year=2563&deed_no=1162&addrno=178,1/1,13.76390029,100.600889,20240720.0,ขายได้,"['20240427', '20240518', '20240608', '20240629', '20240720', '20240810']",5.0,0.0,73122430.0,https://asset.led.go.th/PPKPicture/2566/12-2566/12/1162p.jpg,2024-07-12,
1 - 1,785/2553,ที่ดินพร้อมสิ่งปลูกสร้าง,1,1,40.0,87616800.0,จอมพล,จตุจักร,กรุงเทพมหานคร,12544,10000000.0,"{'1': {'date': '21/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '12/07/2567', 'sta': '-'}, '3': {'date': '02/08/2567', 'sta': '-'}, '4': {'date': '23/08/2567', 'sta': '-'}, '5': {'date': '13/09/2567', 'sta': '-'}, '6': {'date': '04/10/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,111916800.0,22-04-2567,['https://asset.led.go.th/PPKPicture/2567/03-2567/29/12544p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=785&law_suit_year=2553&deed_no=12544&addrno=%20-,2/1,13.81133352,100.56179578,20240802.0,-,"['20240621', '20240712', '20240802', '20240823', '20240913', '20241004']",3.0,1.0,100725120.0,https://asset.led.go.th/PPKPicture/2567/03-2567/29/12544p.jpg,2024-07-12,
1 - 1,6827/2551,สิ่งปลูกสร้าง,0,0,0.0,678860200.0,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,-,20000000.0,"{'1': {'date': '24/05/2567', 'sta': 'งดขาย'}, '2': {'date': '14/06/2567', 'sta': 'งดขาย'}, '3': {'date': '05/07/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '4': {'date': '26/07/2567', 'sta': '-'}, '5': {'date': '16/08/2567', 'sta': '-'}, '6': {'date': '06/09/2567', 'sta': '-'}}",ปลอดการจำนอง,678860200.0,24-04-2567,['https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=6827&law_suit_year=2551&deed_no=-&addrno=92,3/1,,,20240726.0,-,"['20240524', '20240614', '20240705', '20240726', '20240816', '20240906']",4.0,0.0,678860200.0,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,2024-07-12,
1 - 1,ผบ.4653/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,3,1,0.0,62924709.6,ทุ่งสองห้อง,บางเขน(ตลาดขวัญ),กรุงเทพมหานคร,24954,5000000.0,"{'1': {'date': '28/06/2567', 'sta': 'งดขาย'}, '2': {'date': '19/07/2567', 'sta': '-'}, '3': {'date': '09/08/2567', 'sta': '-'}, '4': {'date': '30/08/2567', 'sta': '-'}, '5': {'date': '20/09/2567', 'sta': '-'}, '6': {'date': '11/10/2567', 'sta': '-'}}",ปลอดการจำนอง,62924709.0,14-05-2567,['https://asset.led.go.th/PPKPicture/2567/04-2567/11/24954p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4653&law_suit_year=2562&deed_no=24954&addrno=9/53,4/1,13.9274955,100.63344097,20240719.0,-,"['20240628', '20240719', '20240809', '20240830', '20240920', '20241011']",2.0,0.0,62924709.0,https://asset.led.go.th/PPKPicture/2567/04-2567/11/24954p.jpg,2024-07-12,
1 - 1,พE.659/2565,หุ้น,0,0,0.0,140000000.0,-,-,-,,,,,,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.659&law_suit_year=2565&deed_no=-&addrno=6017188892-6157188891,5/1,,,,,,,,,,2024-07-12,
1 - 1,พ.2200/2561,ที่ดินพร้อมสิ่งปลูกสร้าง,1,0,0.0,19189184.0,หัวหมาก(หัวหมากใต้),บางกะปิ,กรุงเทพมหานคร,144752,2500000.0,"{'1': {'date': '12/07/2567', 'sta': 'ถอนการยึด'}, '2': {'date': '02/08/2567', 'sta': 'ถอนการยึด'}, '3': {'date': '23/08/2567', 'sta': 'ถอนการยึด'}, '4': {'date': '13/09/2567', 'sta': 'ถอนการยึด'}, '5': {'date': '04/10/2567', 'sta': 'ถอนการยึด'}, '6': {'date': '25/10/2567', 'sta': 'ถอนการยึด'}}",ปลอดภาระผูกพัน,48952640.0,06-06-2567,['https://asset.led.go.th/PPKPicture/2567/04-2567/30/144752p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.2200&law_suit_year=2561&deed_no=144752&addrno=43,7/1,13.74882151,100.616334,20240802.0,ถอนการยึด,"['20240712', '20240802', '20240823', '20240913', '20241004', '20241025']",2.0,0.0,48952640.0,https://asset.led.go.th/PPKPicture/2567/04-2567/30/144752p.jpg,2024-07-12,
1 - 1,พ.3403/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,62.0,13189975.0,สามเสนใน(สามเสนในฝั่งเหนือ),ดุสิต(บางซื่อ),กรุงเทพมหานคร,53279,2500000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '4': {'date': '05/07/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,41793350.0,22-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.3403&law_suit_year=2563&deed_no=53279&addrno=69,8/1,13.84705727,100.87573213,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,2.0,33434680.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg,2024-07-12,
1 - 1,มย.185/2565,ที่ดินว่างเปล่า,0,2,75.1,5914650.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22266,500000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,5914650.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22266p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22266&addrno=-,9/1,13.93762919,100.58333226,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,5914650.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22266p.jpg,2024-07-12,
1 - 1,พ.3403/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,97.0,13189975.0,สามเสนใน(สามเสนในฝั่งเหนือ),ดุสิต(บางซื่อ),กรุงเทพมหานคร,8958,2500000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '4': {'date': '05/07/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,41793350.0,22-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.3403&law_suit_year=2563&deed_no=8958&addrno=69,10/1,13.76107642,100.51478341,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,2.0,33434680.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg,2024-07-12,
1 - 2,พE.659/2565,หุ้น,0,0,0.0,4941678.0,-,-,-,,,,,,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.659&law_suit_year=2565&deed_no=-&addrno=1695058323-1700000000,11/1,,,,,,,,,,2024-07-12,
1 - 3,มย.185/2565,ที่ดินว่างเปล่า,0,2,88.3,6198450.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22268,500000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,6198450.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22268p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22268&addrno=-,13/1,13.93744324,100.58395219,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,6198450.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22268p.jpg,2024-07-12,
1 - 4,มย.185/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,0.0,37198200.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22269,5000000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,93142980.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22269p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22269&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,14/1,13.9370747,100.58519845,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,93142980.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22269p.jpg,2024-07-12,
