sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
1 - 1,ผบ.2756/2561,43689,ที่ดินพร้อมสิ่งปลูกสร้าง,52,0,0,มาบโป่ง,พานทอง,ชลบุรี,10000,การจำนองติดไป,1069493,2024-06-03,20240625,-,"['20240625', '20240716', '20240806', '20240827', '20240917', '20241008']",1,0,1069493,https://asset.led.go.th/PPKPicture/2567/04-2567/18/43689p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/18/43689j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2756&law_suit_year=2561&deed_no=43689&addrno=109/237,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,1539/2544,48922,ที่ดินว่างเปล่า,85,0,0,สุรศักดิ์,ศรีราชา,ชลบุรี,4000,ปลอดการจำนอง,76500,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,76500,https://asset.led.go.th/PPKPicture/2567/05-2567/15/48922p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/15/48922j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1539&law_suit_year=2544&deed_no=48922&addrno=-
1 - 1,ผบ.10157/2560,32089,ที่ดินว่างเปล่า,49.2,1,0,นาวังหิน,พนัสนิคม,ชลบุรี,2000,ปลอดภาระผูกพัน,29840,2024-06-03,20240618,-,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,0,29840,https://asset.led.go.th/PPKPicture/2567/03-2567/21/32089p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/21/32089j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.10157&law_suit_year=2560&deed_no=32089&addrno=-
1 - 1,359/2553,35976,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,0,คลองกิ่ว,บ้านบึง,ชลบุรี,5000,ปลอดภาระผูกพัน,84800,2024-06-03,20240618,ขายได้,"['20240326', '20240412', '20240507', '20240528', '20240618', '20240709']",5,0,84800,https://asset.led.go.th/PPKPicture/2567/01-2567/17/35976p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/17/35976j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=359&law_suit_year=2553&deed_no=35976&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
1 - 1,ผบ.8795/2562,230902,ที่ดินว่างเปล่า,68,0,0,หนองขาม,ศรีราชา,ชลบุรี,1400,ปลอดการจำนอง,27200,2024-06-03,20240611,ขายได้,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,27200,https://asset.led.go.th/PPKPicture/2566/12-2566/18/230902p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/18/230902j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.8795&law_suit_year=2562&deed_no=230902&addrno=-
2 - 1,ผบE.4804/2565,157302,ที่ดินพร้อมสิ่งปลูกสร้าง,30,0,0,สำนักบก,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,1149180,2024-06-03,20240625,-,"['20240625', '20240716', '20240806', '20240827', '20240917', '20241008']",1,0,1149180,https://asset.led.go.th/PPKPicture/2567/04-2567/18/157302p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/18/157302j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4804&law_suit_year=2565&deed_no=157302&addrno=36/11
2 - 1,ผบE.3126/2563,39072,ที่ดินพร้อมสิ่งปลูกสร้าง,35.9,0,0,หนองตำลึง,พานทอง,ชลบุรี,10000,การจำนองติดไป,762840,2024-06-03,20240618,เจ้าพนักงานงดขาย,"['20240326', '20240412', '20240507', '20240528', '20240618', '20240709']",5,1,686556,https://asset.led.go.th/PPKPicture/2567/01-2567/17/39072p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/17/39072j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3126&law_suit_year=2563&deed_no=39072&addrno=123/132
2 - 1,ผบ.9237/2559,26210,ที่ดินพร้อมสิ่งปลูกสร้าง,43.1,0,0,บ้านบึง,บ้านบึง,ชลบุรี,10000,การจำนองติดไป,818885,2024-06-03,20240618,-,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,1,736996,https://asset.led.go.th/PPKPicture/2567/03-2567/21/26210p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/21/26210j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.9237&law_suit_year=2559&deed_no=26210&addrno=999/82
2 - 1,99/2555,61501,ที่ดินว่างเปล่า,37,0,0,บ้านเสม็ด,เมืองชลบุรี,ชลบุรี,10000,ปลอดภาระผูกพัน,103600,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,103600,https://asset.led.go.th/PPKPicture/2567/05-2567/15/61501p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/15/61501j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=99&law_suit_year=2555&deed_no=61501&addrno=-
2 - 1,4838/2548,98726,ที่ดินว่างเปล่า,67,0,0,บางพระ,ศรีราชา,ชลบุรี,3000,ปลอดภาระผูกพัน,50250,2024-06-03,20240611,ขายได้,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,50250,https://asset.led.go.th/PPKPicture/2566/12-2566/18/98726p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/18/98726j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=4838&law_suit_year=2548&deed_no=98726&addrno=-
