sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
1 - 1,มย.10/2565,1083/931,ที่ดินพร้อมสิ่งปลูกสร้าง,71,0,0,ท่าศาลา,เมืองลพบุรี,ลพบุรี,150000,ปลอดการจำนอง,1183000,2024-06-03,20240604,ขายได้,"['20240423', '20240514', '20240604', '20240625', '20240716', '20240806']",3,1,1064700,https://asset.led.go.th/PPKPicture/2567/01-2567/25/1083-931p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/25/1083-931j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.10&law_suit_year=2565&deed_no=1083/931&addrno=96/19
1 - 1,ผบ.16/2559,3458,ที่ดินพร้อมสิ่งปลูกสร้าง,54.3,1,0,ชอนน้อย,พัฒนานิคม,ลพบุรี,50000,ปลอดภาระผูกพัน,515682,2024-06-03,20240611,งดขาย,"['20240521', '20240611', '20240702', '20240723', '20240813', '20240903']",2,0,515682,https://asset.led.go.th/PPKPicture/2567/02-2567/21/3458p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/21/3458j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.16&law_suit_year=2559&deed_no=3458&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
1 - 1,ผบ.8066/2562,63221,ที่ดินว่างเปล่า,67,0,0,พรหมมาสตร์,เมืองลพบุรี,ลพบุรี,3000,การจำนองติดไป,13400,2024-06-03,20240604,-,"['20240604', '20240625', '20240716', '20240806', '20240827', '20240917']",1,0,13400,https://asset.led.go.th/PPKPicture/2567/03-2567/07/63221p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/07/63221j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.8066&law_suit_year=2562&deed_no=63221&addrno=-
1 - 1,775/2550,274,ที่ดินว่างเปล่า,16,2,3,ดงพลับ,บ้านหมี่,ลพบุรี,25000,ปลอดภาระผูกพัน,885000,2024-06-03,20240611,-,"['20240319', '20240409', '20240430', '20240521', '20240611', '20240702']",5,3,619500,https://asset.led.go.th/PPKPicture/2566/12-2566/20/274p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/20/274j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=775&law_suit_year=2550&deed_no=274&addrno=-
1 - 1,พ.393/2565,5983,ที่ดินว่างเปล่า,0,0,10,ชอนสมบูรณ์,หนองม่วง,ลพบุรี,50000,ปลอดภาระผูกพัน,800000,2024-06-03,20240618,-,"['20240305', '20240326', '20240412', '20240507', '20240528', '20240618']",6,1,720000,https://asset.led.go.th/PPKPicture/2566/12-2566/06/5983p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/06/5983j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.393&law_suit_year=2565&deed_no=5983&addrno=-
1 - 1,ผบ.391/2556,6533,ที่ดินว่างเปล่า,94,1,0,ชอนสารเดช,หนองม่วง,ลพบุรี,25000,ปลอดการจำนอง,387860,2024-06-03,20240611,-,"['20240409', '20240430', '20240521', '20240611', '20240702', '20240723']",4,3,271502,https://asset.led.go.th/PPKPicture/2567/01-2567/10/6533p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/10/6533j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.391&law_suit_year=2556&deed_no=6533&addrno=-
1 - 1,ผบ.744/2562,17802,ที่ดินพร้อมสิ่งปลูกสร้าง,38,3,2,บางลี่,ท่าวุ้ง,ลพบุรี,150000,ปลอดการจำนอง,1012455,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,1012455,https://asset.led.go.th/PPKPicture/2567/05-2567/01/17802p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/01/17802j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.744&law_suit_year=2562&deed_no=17802&addrno=3
1 - 1,1017/2538,15727,ที่ดินว่างเปล่า,23,2,1,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,50000,ปลอดการจำนอง,2803500,2024-06-03,20240716,-,"['20240716', '20240806', '20240827', '20240917', '20241008', '20241029']",1,0,2803500,https://asset.led.go.th/PPKPicture/2567/04-2567/19/15727p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/19/15727j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1017&law_suit_year=2538&deed_no=15727&addrno=-
1 - 1,ผบ.3448/2557,8946,ที่ดินพร้อมสิ่งปลูกสร้าง,29.2,0,0,พัฒนานิคม,พัฒนานิคม,ลพบุรี,5000,การจำนองติดไป,366340,2024-06-03,20240618,-,"['20240507', '20240528', '20240618', '20240709', '20240730', '20240820']",3,1,329706,https://asset.led.go.th/PPKPicture/2567/02-2567/06/8946p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/06/8946j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3448&law_suit_year=2557&deed_no=8946&addrno=371/53%20%CB%C1%D9%E8%209
1 - 1,ผบE.3461/2565,54067,ที่ดินว่างเปล่า,20,1,0,วังขอนขว้าง,โคกสำโรง,ลพบุรี,5000,การจำนองติดไป,24000,2024-06-03,20240618,-,"['20240618', '20240709', '20240730', '20240820', '20240910', '20241001']",1,0,24000,https://asset.led.go.th/PPKPicture/2567/03-2567/22/54067p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/22/54067j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3461&law_suit_year=2565&deed_no=54067&addrno=-
