sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
1 - 1,ผบ.1910/2560,96624,ที่ดินพร้อมสิ่งปลูกสร้าง,57.6,0,0,บางกระทึก,สามพราน,นครปฐม,150000,ปลอดการจำนอง,2003859,2024-06-03,20240605,งดขาย,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,2003859,https://asset.led.go.th/PPKPicture/2567/01-2567/30/96624p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/96624j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1910&law_suit_year=2560&deed_no=96624&addrno=95/9
1 - 1,3475/2542,12,ที่ดินพร้อมสิ่งปลูกสร้าง,59,1,0,ดอนข่อย,กำแพงแสน,นครปฐม,50000,ปลอดภาระผูกพัน,810000,2024-06-03,20240717,-,"['20240717', '20240807', '20240828', '20240918', '20241009', '20241030']",1,0,810000,https://asset.led.go.th/PPKPicture/2567/04-2567/30/12p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/12j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=3475&law_suit_year=2542&deed_no=12&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
1 - 1,ผบ.277/2559,98472,ที่ดินพร้อมสิ่งปลูกสร้าง,31.1,0,0,ท่าตลาด,สามพราน,นครปฐม,150000,ปลอดการจำนอง,1435935,2024-06-03,20240619,ขายได้,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,0,1435935,https://asset.led.go.th/PPKPicture/2566/12-2566/26/98472p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/98472j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.277&law_suit_year=2559&deed_no=98472&addrno=37/57
1 - 1,ผบ.2092/2558,10991,ห้องชุด,30.08,0,0,ศาลายา,พุทธมณฑล,นครปฐม,5000,การจำนองติดไป,1798784,2024-06-03,20240619,งดขาย,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,1798784,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c84-232p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c84-232j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2092&law_suit_year=2558&deed_no=10991&addrno=84/232
1 - 1,ผบE.6980/2565,38936,ที่ดินพร้อมสิ่งปลูกสร้าง,20.3,0,0,ท่าตำหนัก(โพธิ์เตี้ย),นครชัยศรี,นครปฐม,10000,การจำนองติดไป,918155,2024-06-03,20240612,ถอนการยึด,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,0,918155,https://asset.led.go.th/PPKPicture/2566/11-2566/29/38936p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/29/38936j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.6980&law_suit_year=2565&deed_no=38936&addrno=66/29
1 - 1,ผบ.2304/2561,-,สิ่งปลูกสร้าง,0,0,0,ตำบลตลาดจินดา,อำเภอสามพราน,นครปฐม,500000,ปลอดภาระผูกพัน,9168750,2024-06-03,20240606,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,9168750,https://asset.led.go.th/PPKPicture/2567/01-2567/30/2304p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/2304j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2304&law_suit_year=2561&deed_no=-&addrno=252%20%C1.10
1 - 1,อย.7957/2554,87020,ที่ดินว่างเปล่า,0,0,2,คลองจินดา,สามพราน,นครปฐม,25000,ปลอดภาระผูกพัน,400000,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,400000,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/87020j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%CD%C2.7957&law_suit_year=2554&deed_no=87020&addrno=-
2 - 1,อ.516/2552,35960,ที่ดินว่างเปล่า,26,1,0,รางพิกุล,กำแพงแสน,นครปฐม,20000,ปลอดภาระผูกพัน,163800,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,163800,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/35960j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%CD.516&law_suit_year=2552&deed_no=35960&addrno=-
2 - 1,ผบ.2481/2557,60706,ที่ดินว่างเปล่า,0,0,1,นราภิรมย์,บางเลน,นครปฐม,25000,ปลอดภาระผูกพัน,300000,2024-06-03,20240612,ขายได้,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,0,300000,https://asset.led.go.th/PPKPicture/2566/11-2566/29/60706p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/29/60706j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2481&law_suit_year=2557&deed_no=60706&addrno=-
2 - 1,ผบE.1873/2563,44942,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,0,สระสี่มุม,กำแพงแสน,นครปฐม,25000,ปลอดภาระผูกพัน,344040,2024-06-03,20240717,ถอนการยึด,"['20240717', '20240807', '20240828', '20240918', '20241009', '20241030']",1,0,344040,https://asset.led.go.th/PPKPicture/2567/04-2567/30/44942p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/44942j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1873&law_suit_year=2563&deed_no=44942&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
2 - 1,ผบE.891/2566,123532,ที่ดินพร้อมสิ่งปลูกสร้าง,23.8,0,0,ไร่ขิง,สามพราน,นครปฐม,150000,ปลอดการจำนอง,1119835,2024-06-03,20240605,ขายได้,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,1119835,https://asset.led.go.th/PPKPicture/2567/01-2567/30/123532p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/123532j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.891&law_suit_year=2566&deed_no=123532&addrno=120/32
2 - 1,ผบ.7135/2563,14031,ห้องชุด,25.76,0,0,ศาลายา,พุทธมณฑล,นครปฐม,150000,ปลอดการจำนอง,1532720,2024-06-03,20240619,-,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,1,1379448,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7135&law_suit_year=2563&deed_no=14031&addrno=170/64
2 - 1,ผบE.871/2564,72699,ที่ดินว่างเปล่า,43,2,2,บางปลา,บางเลน,นครปฐม,50000,ปลอดภาระผูกพัน,834400,2024-06-03,20240619,-,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,3,584080,https://asset.led.go.th/PPKPicture/2566/12-2566/26/72699p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/72699j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.871&law_suit_year=2564&deed_no=72699&addrno=-
2 - 2,ผบ.7135/2563,14031,ห้องชุด,25.76,0,0,ศาลายา,พุทธมณฑล,นครปฐม,150000,ปลอดการจำนอง,1532720,2024-06-03,20240619,-,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,1,1379448,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7135&law_suit_year=2563&deed_no=14031&addrno=170/65
2 - 2,อ.516/2552,35282,ที่ดินว่างเปล่า,90,0,0,รางพิกุล,กำแพงแสน,นครปฐม,20000,ปลอดภาระผูกพัน,117000,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,117000,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/35960j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%CD.516&law_suit_year=2552&deed_no=35282&addrno=-
2 - 3,อ.516/2552,35304,ที่ดินว่างเปล่า,0,1,0,รางพิกุล,กำแพงแสน,นครปฐม,20000,ปลอดภาระผูกพัน,130000,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,130000,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/35960j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%CD.516&law_suit_year=2552&deed_no=35304&addrno=-
3 - 1,ผบ.4078/2556,64660,ที่ดินพร้อมสิ่งปลูกสร้าง,17.5,0,0,ศรีษะทอง,นครชัยศรี,นครปฐม,5000,การจำนองติดไป,761460,2024-06-03,20240612,-,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,3,533022,https://asset.led.go.th/PPKPicture/2566/11-2566/29/64660p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/29/64660j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4078&law_suit_year=2556&deed_no=64660&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
3 - 1,ผบE.733/2564,146579,ที่ดินว่างเปล่า,27.4,0,0,ตาก้อง,เมืองนครปฐม,นครปฐม,5000,การจำนองติดไป,686280,2024-06-03,20240619,ขายได้,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,0,686280,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.733&law_suit_year=2564&deed_no=146579&addrno=-
3 - 1,พE.154/2565,62796,ที่ดินพร้อมสิ่งปลูกสร้าง,46,2,0,ไร่ขิง,สามพราน(ตลาดใหม่),นครปฐม(นครชัยศรี),1000000,ปลอดการจำนอง,20803074,2024-06-03,20240605,งดขายในนัดที่เหลือ,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,20803074,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.154&law_suit_year=2565&deed_no=62796&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
3 - 1,ผบE.5344/2566,35002,ที่ดินว่างเปล่า,73,2,13,สระพัฒนา,กำแพงแสน,นครปฐม,50000,ปลอดภาระผูกพัน,820950,2024-06-03,20240717,-,"['20240717', '20240807', '20240828', '20240918', '20241009', '20241030']",1,0,820950,https://asset.led.go.th/PPKPicture/2567/04-2567/30/35002p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/35002j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.5344&law_suit_year=2566&deed_no=35002&addrno=-
3 - 1,กค.102/2561,6268,ที่ดินพร้อมสิ่งปลูกสร้าง,68,1,5,กระทุ่มล้ม,ตลาดใหม่,นครไชยศรี,5000000,ปลอดการจำนอง,59455500,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,59455500,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268p_2.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268j_2.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%A1%A4.102&law_suit_year=2561&deed_no=6268&addrno=99
