sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
1 - 1,ผบE.4954/2563,40613,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,บางรักใหญ่ (เสาธงหิน),บางบัวทอง,นนทบุรี,25000,การจำนองติดไป,1233000,2024-06-03,20240606,ถอนการยึด,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,1233000,https://asset.led.go.th/PPKPicture/2567/02-2567/20/40613p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/20/40613j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4954&law_suit_year=2563&deed_no=40613&addrno=108/305/2
1 - 1,ผบ.6751/2562,24510,ที่ดินพร้อมสิ่งปลูกสร้าง,44,1,0,บางม่วง,บางใหญ่,นนทบุรี,500000,ปลอดการจำนอง,5385900,2024-06-03,20240704,-,"['20240704', '20240725', '20240815', '20240905', '20240926', '20241017']",1,0,5385900,https://asset.led.go.th/PPKPicture/2567/05-2567/03/24510p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/03/24510j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.6751&law_suit_year=2562&deed_no=24510&addrno=5
1 - 1,ผบE.2320/2565,105577,ที่ดินพร้อมสิ่งปลูกสร้าง,17,0,0,บางคูรัด,บางบัวทอง,นนทบุรี,150000,ปลอดการจำนอง,1072200,2024-06-03,20240606,-,"['20240314', '20240404', '20240425', '20240516', '20240606', '20240627']",5,0,1072200,https://asset.led.go.th/PPKPicture/2567/01-2567/15/105577p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/15/105577j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2320&law_suit_year=2565&deed_no=105577&addrno=47/351
1 - 1,พ.565/2563,-,สิ่งปลูกสร้าง,0,0,0,ตำบลตลาดขวัญ,อำเภอเมืองนนทบุรี,นนทบุรี,1000000,ปลอดการจำนอง,10494400,2024-06-03,20240614,-,"['20240322', '20240412', '20240503', '20240524', '20240614', '20240705']",5,0,10494400,https://asset.led.go.th/PPKPicture/2567/02-2567/05/565-2563p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/05/565-2563j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.565&law_suit_year=2563&deed_no=-&addrno=8/1
1 - 1,ผบ.3055/2563,158641,ที่ดินพร้อมสิ่งปลูกสร้าง,30.3,0,0,บางบัวทอง,บางบัวทอง,นนทบุรี,150000,ปลอดการจำนอง,1332600,2024-06-03,20240613,-,"['20240613', '20240704', '20240725', '20240815', '20240905', '20240926']",1,0,1332600,https://asset.led.go.th/PPKPicture/2567/04-2567/10/158641p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/10/158641j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3055&law_suit_year=2563&deed_no=158641&addrno=14/3634
1 - 1,ผบE.664/2565,148387,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,พิมลราช,บางบัวทอง,นนทบุรี,50000,ปลอดการจำนอง,996000,2024-06-03,20240613,ขายได้,"['20240229', '20240321', '20240411', '20240502', '20240523', '20240613']",6,0,996000,https://asset.led.go.th/PPKPicture/2566/12-2566/27/148387p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/27/148387j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.664&law_suit_year=2565&deed_no=148387&addrno=55/212
1 - 1,ผบ.1540/2553,9897,ที่ดินพร้อมสิ่งปลูกสร้าง,17,0,0,ไทรน้อย,ไทรน้อย,นนทบุรี,50000,ปลอดการจำนอง,661172,2024-06-03,20240606,-,"['20240516', '20240606', '20240627', '20240718', '20240808', '20240829']",2,0,661172,https://asset.led.go.th/PPKPicture/2567/03-2567/12/9897p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/12/9897j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1540&law_suit_year=2553&deed_no=9897&addrno=77/242
1 - 1,19085/2541,186378,ที่ดินพร้อมสิ่งปลูกสร้าง,16.4,0,0,บางพูด,ปากเกร็ด,นนทบุรี,50000,ปลอดการจำนอง,894400,2024-06-03,20240725,-,"['20240725', '20240815', '20240905', '20240926', '20241017', '20241107']",1,0,894400,https://asset.led.go.th/PPKPicture/2567/05-2567/24/186378p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/24/186378j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=19085&law_suit_year=2541&deed_no=186378&addrno=2/101
2 - 1,ผบ.806/2564,233986,ที่ดินพร้อมสิ่งปลูกสร้าง,17.4,0,0,บางกร่าง,เมืองนนทบุรี,นนทบุรี,150000,ปลอดการจำนอง,1706040,2024-06-03,20240606,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,1706040,https://asset.led.go.th/PPKPicture/2567/02-2567/20/233986p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/20/233986j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.806&law_suit_year=2564&deed_no=233986&addrno=104/167
2 - 1,ผบE.1909/2565,"3861,3864,242590",ห้องชุด,36.58,0,0,บางกระสอ,เมืองนนทบุรี,นนทบุรี,150000,ปลอดการจำนอง,2638160,2024-06-03,20240613,-,"['20240613', '20240704', '20240725', '20240815', '20240905', '20240926']",1,0,2638160,https://asset.led.go.th/PPKPicture/2567/04-2567/10/c557-1137p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/10/c557-1137j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1909&law_suit_year=2565&deed_no=3861,3864,242590&addrno=557/1137"
