sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,timestamp
1 - 1,ผบE.159/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,39.8,4355300.0,ป่าตอง,กะทู้,ภูเก็ต,5471,25000.0,"{'1': {'date': '21/03/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '11/04/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '02/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '23/05/2567', 'sta': 'ขายได้'}, '5': {'date': '13/06/2567', 'sta': 'ขายได้'}, '6': {'date': '04/07/2567', 'sta': 'ขายได้'}}",การจำนองติดไป,8069362.0,22-01-2567,"['https://asset.led.go.th/PPKPicture/2566/12-2566/26/5471p.jpg', 'https://asset.led.go.th/PPKPicture/2566/12-2566/26/5471j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.159&law_suit_year=2565&deed_no=5471&addrno=49,1/1,7.89621877,98.30252518,20240704.0,ขายได้,"['20240321', '20240411', '20240502', '20240523', '20240613', '20240704']",6.0,3.0,5648553.0,https://asset.led.go.th/PPKPicture/2566/12-2566/26/5471p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/5471j.jpg,2024-06-16
1 - 1,ผบ.1723/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,26.3,4684550.0,กะทู้,กะทู้,ภูเก็ต,12829,500000.0,"{'1': {'date': '25/07/2567', 'sta': '-'}, '2': {'date': '15/08/2567', 'sta': '-'}, '3': {'date': '05/09/2567', 'sta': '-'}, '4': {'date': '26/09/2567', 'sta': '-'}, '5': {'date': '17/10/2567', 'sta': '-'}, '6': {'date': '07/11/2567', 'sta': '-'}}",ปลอดการจำนอง,7690590.0,27-05-2567,"['https://asset.led.go.th/PPKPicture/2567/04-2567/10/12829p.jpg', 'https://asset.led.go.th/PPKPicture/2567/04-2567/10/12829j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1723&law_suit_year=2562&deed_no=12829&addrno=59/15,2/1,7.91283244,98.34232847,20240725.0,-,"['20240725', '20240815', '20240905', '20240926', '20241017', '20241107']",1.0,0.0,7690590.0,https://asset.led.go.th/PPKPicture/2567/04-2567/10/12829p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/10/12829j.jpg,2024-06-16
1 - 1,พ.279/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,21.0,3185011.2,ป่าตอง,กะทู้,ภูเก็ต,4218,250000.0,"{'1': {'date': '18/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '06/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '27/06/2567', 'sta': '-'}, '4': {'date': '18/07/2567', 'sta': '-'}, '5': {'date': '08/08/2567', 'sta': '-'}, '6': {'date': '29/08/2567', 'sta': '-'}}",ปลอดการจำนอง,3185011.0,18-03-2567,"['https://asset.led.go.th/PPKPicture/2567/02-2567/27/4218p.jpg', 'https://asset.led.go.th/PPKPicture/2567/02-2567/27/4218j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.279&law_suit_year=2562&deed_no=4218&addrno=29/41,3/1,7.91401287,98.3287916,20240627.0,-,"['20240518', '20240606', '20240627', '20240718', '20240808', '20240829']",3.0,2.0,2548008.0,https://asset.led.go.th/PPKPicture/2567/02-2567/27/4218p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/27/4218j.jpg,2024-06-16
1 - 1,ผบ.1476/2561,ที่ดินว่างเปล่า,0,0,37.0,10650000.0,ป่าตอง,กะทู้,ภูเก็ต,4051,500000.0,"{'1': {'date': '25/04/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '16/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '06/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '27/06/2567', 'sta': '-'}, '5': {'date': '18/07/2567', 'sta': '-'}, '6': {'date': '08/08/2567', 'sta': '-'}}",ปลอดการจำนอง,10650000.0,27-02-2567,"['https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg', 'https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1476&law_suit_year=2561&deed_no=4051&addrno=-,4/1,7.91624091,98.3310066,20240627.0,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",4.0,3.0,7454999.0,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg,2024-06-16
1 - 1,ผบE.2084/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,43.3,3177250.0,เทพกระษัตรี,ถลาง,ภูเก็ต,56157,250000.0,"{'1': {'date': '20/06/2567', 'sta': '-'}, '2': {'date': '11/07/2567', 'sta': '-'}, '3': {'date': '01/08/2567', 'sta': '-'}, '4': {'date': '22/08/2567', 'sta': '-'}, '5': {'date': '12/09/2567', 'sta': '-'}, '6': {'date': '03/10/2567', 'sta': '-'}}",ปลอดการจำนอง,3177250.0,22-04-2567,"['https://asset.led.go.th/PPKPicture/2567/03-2567/18/56157p.jpg', 'https://asset.led.go.th/PPKPicture/2567/03-2567/18/56157j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2084&law_suit_year=2565&deed_no=56157&addrno=9/652,5/1,8.02316404,98.34512003,20240620.0,-,"['20240620', '20240711', '20240801', '20240822', '20240912', '20241003']",1.0,0.0,3177250.0,https://asset.led.go.th/PPKPicture/2567/03-2567/18/56157p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/18/56157j.jpg,2024-06-16
1 - 1,ผบ.1476/2561,ที่ดินว่างเปล่า,0,0,39.0,10650000.0,ป่าตอง,กะทู้,ภูเก็ต,4052,500000.0,"{'1': {'date': '25/04/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '16/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '06/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '27/06/2567', 'sta': '-'}, '5': {'date': '18/07/2567', 'sta': '-'}, '6': {'date': '08/08/2567', 'sta': '-'}}",ปลอดการจำนอง,10650000.0,27-02-2567,"['https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg', 'https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1476&law_suit_year=2561&deed_no=4052&addrno=-,6/1,7.91619742,98.3310194,20240627.0,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",4.0,3.0,7454999.0,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg,2024-06-16
1 - 1,ผบ.1476/2561,ที่ดินว่างเปล่า,0,0,32.0,10650000.0,ป่าตอง,กะทู้,ภูเก็ต,4059,500000.0,"{'1': {'date': '25/04/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '16/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '06/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '27/06/2567', 'sta': '-'}, '5': {'date': '18/07/2567', 'sta': '-'}, '6': {'date': '08/08/2567', 'sta': '-'}}",ปลอดการจำนอง,10650000.0,27-02-2567,"['https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg', 'https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1476&law_suit_year=2561&deed_no=4059&addrno=-,7/1,7.91593697,98.33110257,20240627.0,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",4.0,3.0,7454999.0,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg,2024-06-16
1 - 1,ผบ.1476/2561,ที่ดินว่างเปล่า,0,0,34.0,10650000.0,ป่าตอง,กะทู้,ภูเก็ต,4060,500000.0,"{'1': {'date': '25/04/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '16/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '06/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '27/06/2567', 'sta': '-'}, '5': {'date': '18/07/2567', 'sta': '-'}, '6': {'date': '08/08/2567', 'sta': '-'}}",ปลอดการจำนอง,10650000.0,27-02-2567,"['https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg', 'https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1476&law_suit_year=2561&deed_no=4060&addrno=-,8/1,7.91589334,98.3311185,20240627.0,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",4.0,3.0,7454999.0,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/09/4051j.jpg,2024-06-16
2 - 1,ผบE.1065/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,13.0,1033500.0,ป่าตอง,กะทู้,ภูเก็ต,7759,250000.0,"{'1': {'date': '21/03/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '11/04/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '02/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '23/05/2567', 'sta': 'ขายได้'}, '5': {'date': '13/06/2567', 'sta': 'ขายได้'}, '6': {'date': '04/07/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,3062740.0,22-01-2567,"['https://asset.led.go.th/PPKPicture/2566/12-2566/26/7759p.jpg', 'https://asset.led.go.th/PPKPicture/2566/12-2566/26/7759j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1065&law_suit_year=2565&deed_no=7759&addrno=43/75,9/1,7.90217936,98.3010545,20240704.0,ขายได้,"['20240321', '20240411', '20240502', '20240523', '20240613', '20240704']",6.0,3.0,2143918.0,https://asset.led.go.th/PPKPicture/2566/12-2566/26/7759p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/7759j.jpg,2024-06-16
2 - 1,ผบ.1726/2562,ห้องชุด,0,0,34.89,2320185.0,รัษฎา,เมืองภูเก็ต,ภูเก็ต,103874,25000.0,"{'1': {'date': '18/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '06/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '27/06/2567', 'sta': '-'}, '4': {'date': '18/07/2567', 'sta': '-'}, '5': {'date': '08/08/2567', 'sta': '-'}, '6': {'date': '29/08/2567', 'sta': '-'}}",การจำนองติดไป,2320185.0,18-03-2567,"['https://asset.led.go.th/PPKPicture/2567/02-2567/20/c155-219p.jpg', 'https://asset.led.go.th/PPKPicture/2567/02-2567/20/c155-219j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1726&law_suit_year=2562&deed_no=103874&addrno=155/219,10/1,7.90965375,98.36894224,20240627.0,-,"['20240518', '20240606', '20240627', '20240718', '20240808', '20240829']",3.0,2.0,1856148.0,https://asset.led.go.th/PPKPicture/2567/02-2567/20/c155-219p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/20/c155-219j.jpg,2024-06-16
