sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
1 - 1,ผบE.3148/2565,140555,ที่ดินพร้อมสิ่งปลูกสร้าง,10.1,1,0,บางหญ้าแพรก,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,4184400,2024-06-03,20240612,-,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,3,2929080,https://asset.led.go.th/PPKPicture/2566/11-2566/30/140555p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/140555j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3148&law_suit_year=2565&deed_no=140555&addrno=104/94
1 - 1,ผบE.2755/2563,68004,ห้องชุด,32.42,0,0,สวนหลวง,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,402008,2024-06-03,20240605,-,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,2,321606,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c138-13p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c138-13j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2755&law_suit_year=2563&deed_no=68004&addrno=138/13
1 - 1,ผบ.4862/2563,-,สิ่งปลูกสร้าง,0,0,0,ตำบลนาดี,อำเภอเมืองสมุทรสาคร,สมุทรสาคร,10000,ปลอดภาระผูกพัน,120000,2024-06-03,20240606,ขายได้,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,120000,https://asset.led.go.th/PPKPicture/2567/02-2567/29/4862p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/4862j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4862&law_suit_year=2563&deed_no=-&addrno=55
1 - 1,ผบE.769/2564,42275,ที่ดินพร้อมสิ่งปลูกสร้าง,2,1,0,คลองตัน,บ้านแพ้ว,สมุทรสาคร,15000,ปลอดภาระผูกพัน,188820,2024-06-03,20240619,ถอนการยึด,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,188820,https://asset.led.go.th/PPKPicture/2567/02-2567/29/42275p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/42275j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.769&law_suit_year=2564&deed_no=42275&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
1 - 1,ผบ.4936/2559,109093,ที่ดินว่างเปล่า,33,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,5000,ปลอดภาระผูกพัน,85800,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,85800,https://asset.led.go.th/PPKPicture/2567/04-2567/30/109093p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/109093j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4936&law_suit_year=2559&deed_no=109093&addrno=-
1 - 1,ผบ.1633/2563,42158,ห้องชุด,22.98,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,10000,การจำนองติดไป,114900,2024-06-03,20240626,-,"['20240626', '20240717', '20240807', '20240828', '20240918', '20241009']",1,0,114900,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c170-43p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c170-43j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1633&law_suit_year=2563&deed_no=42158&addrno=170/43
1 - 1,ผบ.3433/2563,150674,ที่ดินพร้อมสิ่งปลูกสร้าง,41.3,0,0,บางกระเจ้า,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1914398,2024-06-03,20240619,-,"['20240327', '20240417', '20240508', '20240529', '20240619', '20240710']",5,3,1340078,https://asset.led.go.th/PPKPicture/2566/12-2566/28/150674p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/150674j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3433&law_suit_year=2563&deed_no=150674&addrno=188/331
2 - 1,ผบE.1504/2564,"3480,62895,74758",ห้องชุด,28.61,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1270284,2024-06-03,20240605,งดขาย,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,1270284,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c252-397p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c252-397j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1504&law_suit_year=2564&deed_no=3480,62895,74758&addrno=252/397"
2 - 1,ผบ.1038/2558,80976,ที่ดินพร้อมสิ่งปลูกสร้าง,20,0,0,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1051156,2024-06-03,20240612,ขายได้,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,0,1051156,https://asset.led.go.th/PPKPicture/2566/11-2566/30/80976p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/80976j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1038&law_suit_year=2558&deed_no=80976&addrno=29/98
2 - 1,ผบ.2859/2561,25008,ห้องชุด,20.53,0,0,สวนหลวง,กระทุ่มแบน,สมุทรสาคร,10000,ปลอดการจำนอง,149869,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,149869,https://asset.led.go.th/PPKPicture/2567/04-2567/30/c117-289p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/c117-289j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2859&law_suit_year=2561&deed_no=25008&addrno=117/289
2 - 1,ผบE.1236/2563,80521,ที่ดินพร้อมสิ่งปลูกสร้าง,39.6,0,0,แคราย,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1540406,2024-06-03,20240619,งดขาย,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,1540406,https://asset.led.go.th/PPKPicture/2567/02-2567/29/80521p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/80521j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1236&law_suit_year=2563&deed_no=80521&addrno=174/21
