sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
1 - 1,2781/2548,1139,ที่ดินว่างเปล่า,0,0,2,บ้านขาว,ระโนด,สงขลา,20000,ปลอดภาระผูกพัน,160000,2024-06-03,20240618,-,"['20240618', '20240709', '20240730', '20240820', '20240910', '20241001']",1,0,160000,https://asset.led.go.th/PPKPicture/2567/02-2567/29/1139p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/1139j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=2781&law_suit_year=2548&deed_no=1139&addrno=-
1 - 1,ผบ.233/2553,30255,ที่ดินพร้อมสิ่งปลูกสร้าง,84.2,2,0,พะวง,เมืองสงขลา,สงขลา,25000,ปลอดภาระผูกพัน,431900,2024-06-03,20240618,-,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,0,431900,https://asset.led.go.th/PPKPicture/2567/01-2567/31/30255p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/31/30255j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.233&law_suit_year=2553&deed_no=30255&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
1 - 1,ผบ.865/2560,144202,ที่ดินพร้อมสิ่งปลูกสร้าง,22,1,2,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=144202&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,ผบ.39/2554,24882,ที่ดินพร้อมสิ่งปลูกสร้าง,99.3,0,0,พะวง,เมืองสงขลา,สงขลา,150000,ปลอดการจำนอง,1602000,2024-06-03,20240604,-,"['20240423', '20240514', '20240604', '20240625', '20240716', '20240806']",3,0,1602000,https://asset.led.go.th/PPKPicture/2566/12-2566/28/24882p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/24882j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.39&law_suit_year=2554&deed_no=24882&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
1 - 1,3580/2547,15450,ที่ดินพร้อมสิ่งปลูกสร้าง,72,0,0,ระโนด,ระโนด,สงขลา,50000,ปลอดการจำนอง,791000,2024-06-03,20240611,-,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,3,553700,https://asset.led.go.th/PPKPicture/2566/10-2566/31/15450p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/31/15450j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=3580&law_suit_year=2547&deed_no=15450&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
1 - 1,ผบ.865/2560,188237,ที่ดินพร้อมสิ่งปลูกสร้าง,22.1,0,0,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=188237&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,1726/2548,3717,ที่ดินว่างเปล่า,24,0,0,ทุ่งหวัง,เมืองสงขลา,สงขลา,5000,ปลอดภาระผูกพัน,48000,2024-06-03,20240702,-,"['20240702', '20240723', '20240813', '20240903', '20240924', '20241015']",1,0,48000,https://asset.led.go.th/PPKPicture/2567/03-2567/29/3717-2p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/3717-2j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1726&law_suit_year=2548&deed_no=3717&addrno=-
1 - 1,ผบ.865/2560,188238,ที่ดินพร้อมสิ่งปลูกสร้าง,22.1,0,0,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=188238&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,ผบ.865/2560,188239,ที่ดินพร้อมสิ่งปลูกสร้าง,22.1,0,0,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=188239&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,ผบ.865/2560,209267,ที่ดินพร้อมสิ่งปลูกสร้าง,44.1,1,1,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=209267&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,ผบ.865/2560,236320,ที่ดินพร้อมสิ่งปลูกสร้าง,34.6,0,0,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=236320&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,ผบ.865/2560,236764,ที่ดินพร้อมสิ่งปลูกสร้าง,47.6,0,0,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=236764&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
1 - 1,ผบ.865/2560,246496,ที่ดินพร้อมสิ่งปลูกสร้าง,91.3,3,0,หาดใหญ่,หาดใหญ่,สงขลา,10000000,ปลอดการจำนอง,140021176,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,140021176,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/144202j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.865&law_suit_year=2560&deed_no=246496&addrno=787,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
2 - 1,ผบ.799/2552,35606,ที่ดินพร้อมสิ่งปลูกสร้าง,13,0,0,หัวเขา,สิงหนคร,สงขลา,25000,ปลอดภาระผูกพัน,591000,2024-06-03,20240604,-,"['20240423', '20240514', '20240604', '20240625', '20240716', '20240806']",3,2,472800,https://asset.led.go.th/PPKPicture/2566/12-2566/28/35606p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/35606j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.799&law_suit_year=2552&deed_no=35606&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
2 - 1,พ.581/2563,23800,ที่ดินว่างเปล่า,73.2,2,12,พะวง,เมืองสงขลา,สงขลา,5000000,ปลอดการจำนอง,77112640,2024-06-03,20240702,-,"['20240702', '20240723', '20240813', '20240903', '20240924', '20241015']",1,0,77112640,https://asset.led.go.th/PPKPicture/2567/03-2567/29/23800p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/23800j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.581&law_suit_year=2563&deed_no=23800&addrno=-
2 - 1,3497/2549,145308,ที่ดินว่างเปล่า,23.1,0,0,คูเต่า,หาดใหญ่,สงขลา,10000,การจำนองติดไป,105000,2024-06-03,20240618,-,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,0,105000,https://asset.led.go.th/PPKPicture/2567/01-2567/31/145308p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/31/145308j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=3497&law_suit_year=2549&deed_no=145308&addrno=-
2 - 1,ผบ.3661/2554,42899,ที่ดินพร้อมสิ่งปลูกสร้าง,76,0,0,วัดขนุน,สิงหนคร,สงขลา,50000,ปลอดการจำนอง,852000,2024-06-03,20240611,-,"['20240302', '20240319', '20240409', '20240430', '20240521', '20240611']",6,1,766800,https://asset.led.go.th/PPKPicture/2566/11-2566/30/42899p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/42899j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3661&law_suit_year=2554&deed_no=42899&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
